id,year,state_abbr,agencies,population,total_arrests,total_manufacture,opioid_manufacture,marijuana_manufacture,synthetic_manufacture,other_manufacture,total_possess,opioid_possess,marijuana_possess,synthetic_possess,other_possess
37,2016,,13310,264534532,1285186,187557,65790,51422,19571,49992,1057698,247351,459506,62994,264163
36,2015,,13404,260792111,1194910,188123,64117,53387,21392,48531,961035,227637,428694,59929,224528
35,2014,,12854,255852212,1252378,205505,69623,63298,22733,49753,1011167,205330,486085,58462,260955
34,2013,,12397,257195726,1288009,220903,70841,76840,23012,50182,1024667,193469,532256,54571,244381
33,2012,,12850,254953025,1247720,214002,72417,70201,22441,48183,990089,197784,510807,54843,224434
32,2011,,12628,250795788,1211285,212472,72813,72002,21332,46324,952315,193224,505610,53818,199979
31,2010,,12727,248792692,1306285,229771,78799,79720,23225,48030,1025788,203732,572691,51312,198055
30,2009,,12923,247547472,1333073,236860,90690,77528,23042,45596,1044031,223966,585052,47996,186992
29,2008,,12302,240194764,1340654,228058,98333,71418,19505,38803,1058663,256290,572682,43683,186014
28,2007,,12363,235465952,1425171,238387,106117,72100,20256,39895,1120966,289002,573085,45275,213556
27,2006,,11745,228414560,1421699,238052,108600,65326,20589,43511,1119163,306295,533372,45939,233052
26,2005,,11791,230188113,1408518,245770,106879,66124,19231,53533,1097376,294008,511649,46930,244910
25,2004,,11441,222125207,1306299,225895,102832,61738,19298,41991,1007143,268959,488477,42930,206571
24,2003,,11372,219455987,1243482,227672,102898,63590,17503,43593,929055,243922,460255,36517,188272
23,2002,,10936,220019017,1190902,218961,107225,59606,15376,36718,894215,249694,441313,32267,170878
22,2001,,10291,215369937,1266254,247246,125955,63077,14369,43828,945775,270557,491006,28346,155806
21,2000,,9903,204743363,1269000,251082,124628,69753,13070,43628,951560,284232,500557,24494,142220
20,1999,,9515,195331899,1220464,246986,136960,66108,12345,31480,893208,278052,462849,20260,132007
19,1998,,9606,194637946,1262546,269712,149880,66105,10814,42942,918528,303881,456333,20364,137860
18,1997,,9491,194904041,1247713,265172,146606,67289,8417,42848,913742,305093,441541,18700,148243
17,1996,,10046,195867829,1160824,268380,153079,68534,6627,40078,825560,279463,402086,15549,128310
16,1995,,10046,206783051,1236969,291776,173175,67653,8134,42057,879631,325540,398555,17575,135316
15,1994,,10713,208091172,1121002,284898,178318,61448,5672,38658,782761,321740,316501,12811,127051
